year,month,value,date
1880,october,-0.391,1880-10
1880,november,-0.281,1880-11
1880,december,-0.317,1880-12
1881,january,-0.215,1881-01
1881,february,-0.225,1881-02
1881,march,-0.248,1881-03
1881,april,-0.063,1881-04
1881,may,-0.122,1881-05
1881,june,-0.399,1881-06
1881,july,-0.194,1881-07
1881,august,-0.138,1881-08
1881,september,-0.301,1881-09
1881,october,-0.231,1881-10
1881,november,-0.381,1881-11
1881,december,-0.271,1881-12
1882,january,-0.025,1882-01
1882,february,-0.117,1882-02
1882,march,-0.177,1882-03
1882,april,-0.315,1882-04
1882,may,-0.326,1882-05
1882,june,-0.392,1882-06
1882,july,-0.341,1882-07
1882,august,-0.245,1882-08
1882,september,-0.15,1882-09
1882,october,-0.399,1882-10
1882,november,-0.404,1882-11
1882,december,-0.655,1882-12
1883,january,-0.473,1883-01
1883,february,-0.485,1883-02
1883,march,-0.266,1883-03
1883,april,-0.439,1883-04
1883,may,-0.34,1883-05
1883,june,-0.19,1883-06
1883,july,-0.219,1883-07
1883,august,-0.288,1883-08
1883,september,-0.306,1883-09
1883,october,-0.34,1883-10
1883,november,-0.396,1883-11
1883,december,-0.415,1883-12
1884,january,-0.444,1884-01
1884,february,-0.333,1884-02
1884,march,-0.505,1884-03
1884,april,-0.509,1884-04
1884,may,-0.566,1884-05
1884,june,-0.514,1884-06
1884,july,-0.566,1884-07
1884,august,-0.429,1884-08
1884,september,-0.504,1884-09
1884,october,-0.463,1884-10
1884,november,-0.585,1884-11
1884,december,-0.49,1884-12
1885,january,-0.656,1885-01
1885,february,-0.553,1885-02
1885,march,-0.421,1885-03
1885,april,-0.635,1885-04
1885,may,-0.606,1885-05
1885,june,-0.637,1885-06
1885,july,-0.42,1885-07
1885,august,-0.405,1885-08
1885,september,-0.357,1885-09
1885,october,-0.362,1885-10
1885,november,-0.384,1885-11
1885,december,-0.218,1885-12
1886,january,-0.48,1886-01
1886,february,-0.479,1886-02
1886,march,-0.487,1886-03
1886,april,-0.362,1886-04
1886,may,-0.293,1886-05
1886,june,-0.502,1886-06
1886,july,-0.302,1886-07
1886,august,-0.457,1886-08
1886,september,-0.391,1886-09
1886,october,-0.413,1886-10
1886,november,-0.491,1886-11
1886,december,-0.395,1886-12
1887,january,-0.744,1887-01
1887,february,-0.659,1887-02
1887,march,-0.445,1887-03
1887,april,-0.483,1887-04
1887,may,-0.529,1887-05
1887,june,-0.526,1887-06
1887,july,-0.389,1887-07
1887,august,-0.446,1887-08
1887,september,-0.389,1887-09
1887,october,-0.445,1887-10
1887,november,-0.435,1887-11
1887,december,-0.497,1887-12
1888,january,-0.618,1888-01
1888,february,-0.587,1888-02
1888,march,-0.597,1888-03
1888,april,-0.352,1888-04
1888,may,-0.411,1888-05
1888,june,-0.322,1888-06
1888,july,-0.339,1888-07
1888,august,-0.311,1888-08
1888,september,-0.325,1888-09
1888,october,-0.166,1888-10
1888,november,-0.265,1888-11
1888,december,-0.259,1888-12
1889,january,-0.297,1889-01
1889,february,-0.007,1889-02
1889,march,-0.087,1889-03
1889,april,-0.087,1889-04
1889,may,-0.158,1889-05
1889,june,-0.213,1889-06
1889,july,-0.281,1889-07
1889,august,-0.307,1889-08
1889,september,-0.342,1889-09
1889,october,-0.37,1889-10
1889,november,-0.506,1889-11
1889,december,-0.344,1889-12
1890,january,-0.534,1890-01
1890,february,-0.465,1890-02
1890,march,-0.611,1890-03
1890,april,-0.494,1890-04
1890,may,-0.536,1890-05
1890,june,-0.495,1890-06
1890,july,-0.489,1890-07
1890,august,-0.467,1890-08
1890,september,-0.482,1890-09
1890,october,-0.439,1890-10
1890,november,-0.67,1890-11
1890,december,-0.399,1890-12
1891,january,-0.58,1891-01
1891,february,-0.598,1891-02
1891,march,-0.363,1891-03
1891,april,-0.448,1891-04
1891,may,-0.346,1891-05
1891,june,-0.375,1891-06
1891,july,-0.4,1891-07
1891,august,-0.355,1891-08
1891,september,-0.257,1891-09
1891,october,-0.343,1891-10
1891,november,-0.534,1891-11
1891,december,-0.218,1891-12
1892,january,-0.465,1892-01
1892,february,-0.29,1892-02
1892,march,-0.533,1892-03
1892,april,-0.546,1892-04
1892,may,-0.457,1892-05
1892,june,-0.436,1892-06
1892,july,-0.587,1892-07
1892,august,-0.508,1892-08
1892,september,-0.382,1892-09
1892,october,-0.434,1892-10
1892,november,-0.661,1892-11
1892,december,-0.792,1892-12
1893,january,-1.045,1893-01
1893,february,-0.845,1893-02
1893,march,-0.427,1893-03
1893,april,-0.515,1893-04
1893,may,-0.572,1893-05
1893,june,-0.442,1893-06
1893,july,-0.244,1893-07
1893,august,-0.287,1893-08
1893,september,-0.365,1893-09
1893,october,-0.304,1893-10
1893,november,-0.405,1893-11
1893,december,-0.485,1893-12
1894,january,-0.628,1894-01
1894,february,-0.429,1894-02
1894,march,-0.512,1894-03
1894,april,-0.537,1894-04
1894,may,-0.519,1894-05
1894,june,-0.584,1894-06
1894,july,-0.392,1894-07
1894,august,-0.354,1894-08
1894,september,-0.44,1894-09
1894,october,-0.399,1894-10
1894,november,-0.46,1894-11
1894,december,-0.552,1894-12
1895,january,-0.636,1895-01
1895,february,-0.642,1895-02
1895,march,-0.618,1895-03
1895,april,-0.461,1895-04
1895,may,-0.483,1895-05
1895,june,-0.425,1895-06
1895,july,-0.335,1895-07
1895,august,-0.377,1895-08
1895,september,-0.394,1895-09
1895,october,-0.326,1895-10
1895,november,-0.321,1895-11
1895,december,-0.367,1895-12
1896,january,-0.315,1896-01
1896,february,-0.337,1896-02
1896,march,-0.588,1896-03
1896,april,-0.546,1896-04
1896,may,-0.356,1896-05
1896,june,-0.23,1896-06
1896,july,-0.182,1896-07
1896,august,-0.172,1896-08
1896,september,-0.155,1896-09
1896,october,-0.118,1896-10
1896,november,-0.314,1896-11
1896,december,-0.094,1896-12
1897,january,-0.3,1897-01
1897,february,-0.349,1897-02
1897,march,-0.415,1897-03
1897,april,-0.118,1897-04
1897,may,-0.114,1897-05
1897,june,-0.163,1897-06
1897,july,-0.187,1897-07
1897,august,-0.185,1897-08
1897,september,-0.186,1897-09
1897,october,-0.212,1897-10
1897,november,-0.423,1897-11
1897,december,-0.465,1897-12
1898,january,-0.199,1898-01
1898,february,-0.556,1898-02
1898,march,-0.843,1898-03
1898,april,-0.663,1898-04
1898,may,-0.56,1898-05
1898,june,-0.335,1898-06
1898,july,-0.395,1898-07
1898,august,-0.389,1898-08
1898,september,-0.371,1898-09
1898,october,-0.501,1898-10
1898,november,-0.529,1898-11
1898,december,-0.49,1898-12
1899,january,-0.36,1899-01
1899,february,-0.554,1899-02
1899,march,-0.589,1899-03
1899,april,-0.439,1899-04
1899,may,-0.359,1899-05
1899,june,-0.501,1899-06
1899,july,-0.366,1899-07
1899,august,-0.24,1899-08
1899,september,-0.152,1899-09
1899,october,-0.183,1899-10
1899,november,-0.057,1899-11
1899,december,-0.466,1899-12
1900,january,-0.507,1900-01
1900,february,-0.203,1900-02
1900,march,-0.2,1900-03
1900,april,-0.224,1900-04
1900,may,-0.303,1900-05
1900,june,-0.217,1900-06
1900,july,-0.191,1900-07
1900,august,-0.211,1900-08
1900,september,-0.196,1900-09
1900,october,-0.065,1900-10
1900,november,-0.263,1900-11
1900,december,-0.236,1900-12
1901,january,-0.281,1901-01
1901,february,-0.268,1901-02
1901,march,-0.201,1901-03
1901,april,-0.175,1901-04
1901,may,-0.249,1901-05
1901,june,-0.237,1901-06
1901,july,-0.329,1901-07
1901,august,-0.205,1901-08
1901,september,-0.355,1901-09
1901,october,-0.341,1901-10
1901,november,-0.396,1901-11
1901,december,-0.485,1901-12
1902,january,-0.44,1902-01
1902,february,-0.232,1902-02
1902,march,-0.474,1902-03
1902,april,-0.431,1902-04
1902,may,-0.43,1902-05
1902,june,-0.445,1902-06
1902,july,-0.389,1902-07
1902,august,-0.425,1902-08
1902,september,-0.373,1902-09
1902,october,-0.501,1902-10
1902,november,-0.563,1902-11
1902,december,-0.566,1902-12
1903,january,-0.434,1903-01
1903,february,-0.24,1903-02
1903,march,-0.398,1903-03
1903,april,-0.588,1903-04
1903,may,-0.516,1903-05
1903,june,-0.548,1903-06
1903,july,-0.505,1903-07
1903,august,-0.601,1903-08
1903,september,-0.56,1903-09
1903,october,-0.665,1903-10
1903,november,-0.63,1903-11
1903,december,-0.714,1903-12
1904,january,-0.807,1904-01
1904,february,-0.77,1904-02
1904,march,-0.696,1904-03
1904,april,-0.647,1904-04
1904,may,-0.609,1904-05
1904,june,-0.564,1904-06
1904,july,-0.553,1904-07
1904,august,-0.478,1904-08
1904,september,-0.597,1904-09
1904,october,-0.553,1904-10
1904,november,-0.397,1904-11
1904,december,-0.5,1904-12
1905,january,-0.463,1905-01
1905,february,-0.72,1905-02
1905,march,-0.524,1905-03
1905,april,-0.559,1905-04
1905,may,-0.434,1905-05
1905,june,-0.343,1905-06
1905,july,-0.373,1905-07
1905,august,-0.304,1905-08
1905,september,-0.345,1905-09
1905,october,-0.335,1905-10
1905,november,-0.217,1905-11
1905,december,-0.274,1905-12
1906,january,-0.297,1906-01
1906,february,-0.389,1906-02
1906,march,-0.29,1906-03
1906,april,-0.104,1906-04
1906,may,-0.377,1906-05
1906,june,-0.233,1906-06
1906,july,-0.343,1906-07
1906,august,-0.271,1906-08
1906,september,-0.353,1906-09
1906,october,-0.322,1906-10
1906,november,-0.532,1906-11
1906,december,-0.321,1906-12
1907,january,-0.529,1907-01
1907,february,-0.619,1907-02
1907,march,-0.438,1907-03
1907,april,-0.478,1907-04
1907,may,-0.645,1907-05
1907,june,-0.544,1907-06
1907,july,-0.425,1907-07
1907,august,-0.491,1907-08
1907,september,-0.399,1907-09
1907,october,-0.336,1907-10
1907,november,-0.556,1907-11
1907,december,-0.59,1907-12
1908,january,-0.466,1908-01
1908,february,-0.414,1908-02
1908,march,-0.704,1908-03
1908,april,-0.588,1908-04
1908,may,-0.453,1908-05
1908,june,-0.413,1908-06
1908,july,-0.401,1908-07
1908,august,-0.481,1908-08
1908,september,-0.387,1908-09
1908,october,-0.575,1908-10
1908,november,-0.645,1908-11
1908,december,-0.638,1908-12
1909,january,-0.763,1909-01
1909,february,-0.536,1909-02
1909,march,-0.652,1909-03
1909,april,-0.633,1909-04
1909,may,-0.592,1909-05
1909,june,-0.5,1909-06
1909,july,-0.524,1909-07
1909,august,-0.337,1909-08
1909,september,-0.416,1909-09
1909,october,-0.495,1909-10
1909,november,-0.387,1909-11
1909,december,-0.596,1909-12
1910,january,-0.433,1910-01
1910,february,-0.529,1910-02
1910,march,-0.619,1910-03
1910,april,-0.535,1910-04
1910,may,-0.537,1910-05
1910,june,-0.559,1910-06
1910,july,-0.435,1910-07
1910,august,-0.389,1910-08
1910,september,-0.423,1910-09
1910,october,-0.485,1910-10
1910,november,-0.672,1910-11
1910,december,-0.757,1910-12
1911,january,-0.668,1911-01
1911,february,-0.706,1911-02
1911,march,-0.764,1911-03
1911,april,-0.644,1911-04
1911,may,-0.627,1911-05
1911,june,-0.554,1911-06
1911,july,-0.493,1911-07
1911,august,-0.506,1911-08
1911,september,-0.498,1911-09
1911,october,-0.345,1911-10
1911,november,-0.349,1911-11
1911,december,-0.315,1911-12
1912,january,-0.329,1912-01
1912,february,-0.315,1912-02
1912,march,-0.554,1912-03
